"Genre","Decade","mode_char","mode","key","Artist","Song.Title","Year","Rank","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration","key_character"
"Alternative","2010s","minor",0,1,"Portugal. The Man","Feel It Still",2018,33,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,2.72088333333333,"C#/Db"
"Alternative","2010s","major",1,3,"Imagine Dragons","Demons",2014,23,0.505,0.71,-3.015,0.0321,0.19,0.00025,0.329,0.428,89.938,4,2.92,"D#/Eb"
"Alternative","2000s","major",1,0,"Red Hot Chili Peppers","Dani California",2006,23,0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,4,4.70266666666667,"C/B#"
"Alternative","2010s","major",1,0,"Imagine Dragons","Thunder",2018,22,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,4,3.11911666666667,"C/B#"
"Alternative","90s","major",1,2,"Deep Blue Something","Breakfast at Tiffany's",1996,39,0.622,0.829,-5.548,0.029,0.11,0,0.0954,0.539,110.367,4,4.28955,"D"
"Alternative","2010s","minor",0,5,"Lil Nas X","Panini",2019,40,0.703,0.594,-6.146,0.0752,0.342,0,0.123,0.475,153.848,4,1.91488333333333,"F/E#"
"Alternative","2010s","major",1,2,"American Authors","Best Day of My Life",2014,31,0.673,0.902,-2.392,0.0346,0.0591,0.000262,0.0558,0.538,100.012,4,3.23733333333333,"D"
"Alternative","2010s","major",1,0,"Halsey","Bad at Love",2018,27,0.675,0.751,-3.539,0.0296,0.0604,0,0.0893,0.612,118.384,4,3.02131666666667,"C/B#"
"Alternative","2010s","major",1,6,"Twenty One Pilots","Ride",2016,20,0.645,0.713,-5.355,0.0393,0.00835,0,0.113,0.566,74.989,4,3.57511666666667,"F#/Gb"
"Alternative","90s","major",1,0,"Collective Soul","December",1995,41,0.683,0.645,-5.707,0.0272,0.589,0.00432,0.18,0.366,121.995,4,4.75,"C/B#"
"Alternative","90s","major",1,2,"Marcy Playground","Sex and Candy",1998,28,0.67,0.558,-9.159,0.0251,0.238,0,0.106,0.63,80.511,4,2.89155,"D"
"Alternative","2020s","major",1,3,"Lewis Capaldi","Before You Go",2020,21,0.459,0.575,-4.858,0.0573,0.604,0,0.0885,0.183,111.881,4,3.58511666666667,"D#/Eb"
"Alternative","90s","major",1,11,"Smash Mouth","All Star",1999,17,0.731,0.867,-5.881,0.032,0.0395,0,0.0861,0.776,104.019,4,3.33955,"B"
"Alternative","2010s","major",1,7,"Lorde","Royals",2014,20,0.674,0.428,-9.504,0.122,0.121,0,0.132,0.337,84.878,4,3.16975,"G"
"Alternative","2020s","major",1,1,"Lewis Capaldi","Someone You Loved",2020,10,0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,4,3.03601666666667,"C#/Db"
"Alternative","2010s","major",1,8,"Neon Trees","Everybody Talks",2012,22,0.471,0.924,-3.906,0.0586,0.00301,0,0.313,0.725,154.961,4,2.95466666666667,"G#/Ab"
"Alternative","2010s","minor",0,4,"Twenty One Pilots","Stressed Out",2016,5,0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,3.37221666666667,"E"
"Alternative","2020s","major",1,7,"Billie Eilish","Bad Guy",2020,46,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,4,3.2348,"G"
"Alternative","2010s","minor",0,1,"Portugal. The Man","Feel It Still",2018,33,0.801,0.795,-5.115,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,2.72088333333333,"C#/Db"
"Alternative","2000s","major",1,3,"The All-American Rejects","Move Along",2006,21,0.518,0.916,-3.858,0.0454,0.000148,0,0.291,0.646,109.864,4,3.98133333333333,"D#/Eb"
"Alternative","2020s","major",1,11,"Glass Animals","Heat Waves",2021,16,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,3.98008333333333,"B"
"Alternative","2000s","minor",0,5,"Coldplay","Viva la Vida",2008,13,0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4,4.03955,"F/E#"
"Alternative","2000s","minor",0,4,"Incubus","Drive",2001,21,0.645,0.792,-7.34,0.036,0.0562,0.0121,0.119,0.666,90.565,4,3.87421666666667,"E"
"Alternative","2020s","major",1,7,"Billie Eilish","Bad Guy",2020,46,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,4,3.2348,"G"
