Artist,Song Title,Year,Rank,Genre,Decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
'N Sync,(God Must Have Spent) A Little More Time on You,1999,45,Pop,90s,0.6,0.544,10,-8.863,1,0.0358,0.441,0,0.255,0.32,83.992,audio_features,4mljNnZ2eaXKSbEAOzLlLE,spotify:track:4mljNnZ2eaXKSbEAOzLlLE,https://api.spotify.com/v1/tracks/4mljNnZ2eaXKSbEAOzLlLE,https://api.spotify.com/v1/audio-analysis/4mljNnZ2eaXKSbEAOzLlLE,282960,4
'N Sync,Bye Bye Bye,2000,21,Pop,2000s,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,audio_features,62bOmKYxYg7dhrC6gH9vFn,spotify:track:62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/tracks/62bOmKYxYg7dhrC6gH9vFn,https://api.spotify.com/v1/audio-analysis/62bOmKYxYg7dhrC6gH9vFn,200400,4
'N Sync,I Want You Back,1998,37,Pop,90s,0.751,0.939,8,-3.305,0,0.0466,0.0521,5.6e-4,0.477,0.905,112.041,audio_features,221LRlPHPuevgE1tuUlof9,spotify:track:221LRlPHPuevgE1tuUlof9,https://api.spotify.com/v1/tracks/221LRlPHPuevgE1tuUlof9,https://api.spotify.com/v1/audio-analysis/221LRlPHPuevgE1tuUlof9,200440,4
'N Sync,It's Gonna Be Me,2000,27,Pop,2000s,0.636,0.873,0,-4.672,0,0.071,0.0407,1.27e-6,0.0372,0.908,165.071,audio_features,2AW37v0bDyuOzGP3XnmFuA,spotify:track:2AW37v0bDyuOzGP3XnmFuA,https://api.spotify.com/v1/tracks/2AW37v0bDyuOzGP3XnmFuA,https://api.spotify.com/v1/audio-analysis/2AW37v0bDyuOzGP3XnmFuA,192427,4
? and the Mysterians,96 Tears,1966,2,Pop,60s,0.65,0.562,7,-5.965,1,0.0345,0.0624,3.21e-5,0.076,0.882,123.674,audio_features,4PEeZ2U4UfP2Jo8EtIOjus,spotify:track:4PEeZ2U4UfP2Jo8EtIOjus,https://api.spotify.com/v1/tracks/4PEeZ2U4UfP2Jo8EtIOjus,https://api.spotify.com/v1/audio-analysis/4PEeZ2U4UfP2Jo8EtIOjus,176867,4
"10,000 Maniacs",Because the Night,1994,40,Rock,90s,0.408,0.79,11,-8.138,0,0.103,0.26,2.7e-4,0.765,0.347,122.624,audio_features,5VzvK7YiwWbRePA2JOzhYq,spotify:track:5VzvK7YiwWbRePA2JOzhYq,https://api.spotify.com/v1/tracks/5VzvK7YiwWbRePA2JOzhYq,https://api.spotify.com/v1/audio-analysis/5VzvK7YiwWbRePA2JOzhYq,223373,4
10cc,The Things We Do for Love,1977,44,Pop,70s,0.637,0.528,1,-9.837,1,0.0394,0.163,0,0.122,0.781,106.949,audio_features,6KEWtSOGKpIXGw6l1uJgsR,spotify:track:6KEWtSOGKpIXGw6l1uJgsR,https://api.spotify.com/v1/tracks/6KEWtSOGKpIXGw6l1uJgsR,https://api.spotify.com/v1/audio-analysis/6KEWtSOGKpIXGw6l1uJgsR,207573,4
1910 Fruitgum Company,"1, 2, 3, Red Light",1968,48,Pop,60s,0.718,0.498,3,-8.904,1,0.0374,0.132,0,0.0536,0.982,115.957,audio_features,4fnvjQXs8y18X8br917ohs,spotify:track:4fnvjQXs8y18X8br917ohs,https://api.spotify.com/v1/tracks/4fnvjQXs8y18X8br917ohs,https://api.spotify.com/v1/audio-analysis/4fnvjQXs8y18X8br917ohs,127120,4
1910 Fruitgum Company,Simon Says,1968,33,Oldies,60s,0.8,0.632,9,-10.803,1,0.0387,0.411,0.00279,0.115,0.986,134.282,audio_features,2TdhHtNXvGwbVSkZSQ5Olt,spotify:track:2TdhHtNXvGwbVSkZSQ5Olt,https://api.spotify.com/v1/tracks/2TdhHtNXvGwbVSkZSQ5Olt,https://api.spotify.com/v1/audio-analysis/2TdhHtNXvGwbVSkZSQ5Olt,138933,4
21 Savage,A Lot,2019,42,Hip-Hop/Rap,2010s,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,audio_features,2t8yVaLvJ0RenpXUIAC52d,spotify:track:2t8yVaLvJ0RenpXUIAC52d,https://api.spotify.com/v1/tracks/2t8yVaLvJ0RenpXUIAC52d,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d,288624,4
