,Artist Name,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Kesha,Tik Tok,0.755,0.837,2.0,-2.718,0.0,0.142,0.0991,0.0,0.289,0.714,120.028,audio_features,0HPD5WQqrq7wPWR7P7Dw1i,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i,https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i,199693.0,4.0
1,Lady Antebellum,Need You Now,0.587,0.622,4.0,-5.535,1.0,0.0303,0.0927,0.000636,0.2,0.231,107.943,audio_features,11EX5yhxr9Ihl3IN1asrfK,spotify:track:11EX5yhxr9Ihl3IN1asrfK,https://api.spotify.com/v1/tracks/11EX5yhxr9Ihl3IN1asrfK,https://api.spotify.com/v1/audio-analysis/11EX5yhxr9Ihl3IN1asrfK,277573.0,4.0
2,Train,"Hey, Soul Sister",0.673,0.886,1.0,-4.44,0.0,0.0431,0.185,0.0,0.0826,0.795,97.012,audio_features,4HlFJV71xXKIGcU3kRyttv,spotify:track:4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/tracks/4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/audio-analysis/4HlFJV71xXKIGcU3kRyttv,216773.0,4.0
3,Lady Gaga,Bad Romance,0.696,0.921,0.0,-3.755,1.0,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,audio_features,0SiywuOBRcynK0uKGWdCnn,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573.0,4.0
4,Taio Cruz,Dynamite,0.751,0.783,4.0,-3.724,1.0,0.0859,0.00379,0.0,0.036,0.816,119.975,audio_features,2CEgGE6aESpnmtfiZwYlbV,spotify:track:2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,202613.0,4.0
5,Jason Derulo,In My Head,0.762,0.748,0.0,-4.15,0.0,0.033,0.0266,0.0,0.348,0.851,110.009,audio_features,5BoIP8Eha5hwmRVURkC2Us,spotify:track:5BoIP8Eha5hwmRVURkC2Us,https://api.spotify.com/v1/tracks/5BoIP8Eha5hwmRVURkC2Us,https://api.spotify.com/v1/audio-analysis/5BoIP8Eha5hwmRVURkC2Us,199027.0,4.0
6,Rihanna,Rude Boy,0.563,0.75,11.0,-4.496,1.0,0.127,0.113,0.0,0.0788,0.812,173.906,audio_features,60jzFy6Nn4M0iD1d94oteF,spotify:track:60jzFy6Nn4M0iD1d94oteF,https://api.spotify.com/v1/tracks/60jzFy6Nn4M0iD1d94oteF,https://api.spotify.com/v1/audio-analysis/60jzFy6Nn4M0iD1d94oteF,222920.0,4.0
7,Katy Perry,Teenage Dream,0.719,0.798,10.0,-4.582,1.0,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,audio_features,5jzKL4BDMClWqRguW5qZvh,spotify:track:5jzKL4BDMClWqRguW5qZvh,https://api.spotify.com/v1/tracks/5jzKL4BDMClWqRguW5qZvh,https://api.spotify.com/v1/audio-analysis/5jzKL4BDMClWqRguW5qZvh,227741.0,4.0
8,Bruno Mars,Just the Way You Are,0.635,0.841,5.0,-5.379,1.0,0.0422,0.0134,0.0,0.0622,0.424,109.021,audio_features,7BqBn9nzAq8spo5e7cZ0dJ,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,https://api.spotify.com/v1/tracks/7BqBn9nzAq8spo5e7cZ0dJ,https://api.spotify.com/v1/audio-analysis/7BqBn9nzAq8spo5e7cZ0dJ,220734.0,4.0
9,Mike Posner,Cooler Than Me,0.768,0.82,7.0,-4.63,0.0,0.0474,0.179,0.0,0.689,0.625,129.965,audio_features,2V4bv1fNWfTcyRJKmej6Sj,spotify:track:2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/tracks/2V4bv1fNWfTcyRJKmej6Sj,https://api.spotify.com/v1/audio-analysis/2V4bv1fNWfTcyRJKmej6Sj,213293.0,4.0
10,The Black Eyed Peas,Imma Be,0.595,0.352,5.0,-11.306,0.0,0.378,0.0981,0.0,0.359,0.497,183.956,audio_features,1l3uATPCcIpY9BDGPmuzzw,spotify:track:1l3uATPCcIpY9BDGPmuzzw,https://api.spotify.com/v1/tracks/1l3uATPCcIpY9BDGPmuzzw,https://api.spotify.com/v1/audio-analysis/1l3uATPCcIpY9BDGPmuzzw,258651.0,4.0
11,Eminem,Not Afraid,0.855,0.954,0.0,-1.19,0.0,0.264,0.529,0.0,0.205,0.668,114.635,audio_features,7Ie9W94M7OjPoZVV216Xus,spotify:track:7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/tracks/7Ie9W94M7OjPoZVV216Xus,https://api.spotify.com/v1/audio-analysis/7Ie9W94M7OjPoZVV216Xus,248133.0,5.0
12,Iyaz,Replay,0.706,0.751,9.0,-6.323,1.0,0.0708,0.173,0.0,0.168,0.195,91.031,audio_features,5vlEg2fT4cFWAqU5QptIpQ,spotify:track:5vlEg2fT4cFWAqU5QptIpQ,https://api.spotify.com/v1/tracks/5vlEg2fT4cFWAqU5QptIpQ,https://api.spotify.com/v1/audio-analysis/5vlEg2fT4cFWAqU5QptIpQ,182307.0,4.0
13,The Script,Breakeven,0.63,0.696,10.0,-4.501,1.0,0.0242,0.144,0.0,0.0835,0.491,94.034,audio_features,285hMzLhJwHVLe9QT9qilk,spotify:track:285hMzLhJwHVLe9QT9qilk,https://api.spotify.com/v1/tracks/285hMzLhJwHVLe9QT9qilk,https://api.spotify.com/v1/audio-analysis/285hMzLhJwHVLe9QT9qilk,261427.0,4.0
14,Kesha,Your Love Is My Drug,0.826,0.612,1.0,-3.891,1.0,0.0982,0.00681,0.0,0.0889,0.756,120.057,audio_features,6vc2Jq2vaGu8z326kSrw92,spotify:track:6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/tracks/6vc2Jq2vaGu8z326kSrw92,https://api.spotify.com/v1/audio-analysis/6vc2Jq2vaGu8z326kSrw92,187133.0,4.0
15,The Black Eyed Peas,I Gotta Feeling,0.73,0.52,7.0,-8.574,1.0,0.0451,0.000716,0.89,0.0672,0.152,127.989,audio_features,7DvZxfDwItoRnphy3PqDSv,spotify:track:7DvZxfDwItoRnphy3PqDSv,https://api.spotify.com/v1/tracks/7DvZxfDwItoRnphy3PqDSv,https://api.spotify.com/v1/audio-analysis/7DvZxfDwItoRnphy3PqDSv,247500.0,4.0
16,Owl City,Fireflies,0.512,0.662,3.0,-6.797,1.0,0.0439,0.0275,0.0,0.118,0.472,180.114,audio_features,3DamFFqW32WihKkTVlwTYQ,spotify:track:3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,228347.0,4.0
17,Drake,Find Your Love,0.627,0.614,6.0,-6.006,0.0,0.17,0.0211,0.0,0.0286,0.758,96.038,audio_features,4BycRneKmOs6MhYG9THsuX,spotify:track:4BycRneKmOs6MhYG9THsuX,https://api.spotify.com/v1/tracks/4BycRneKmOs6MhYG9THsuX,https://api.spotify.com/v1/audio-analysis/4BycRneKmOs6MhYG9THsuX,208947.0,4.0
18,Lady Gaga,Alejandro,0.626,0.799,11.0,-6.612,0.0,0.046,0.000358,0.00155,0.36,0.369,98.992,audio_features,4lwavw59UjXUPJZtKNdFYp,spotify:track:4lwavw59UjXUPJZtKNdFYp,https://api.spotify.com/v1/tracks/4lwavw59UjXUPJZtKNdFYp,https://api.spotify.com/v1/audio-analysis/4lwavw59UjXUPJZtKNdFYp,274213.0,4.0
19,Jason Derulo,Ridin' Solo,0.442,0.83,9.0,-4.02,1.0,0.146,0.128,0.0,0.129,0.578,89.338,audio_features,6BaxqcoEM9r3LXisTyJjST,spotify:track:6BaxqcoEM9r3LXisTyJjST,https://api.spotify.com/v1/tracks/6BaxqcoEM9r3LXisTyJjST,https://api.spotify.com/v1/audio-analysis/6BaxqcoEM9r3LXisTyJjST,215747.0,4.0
